shift,rep,detector,total_detections,false_alarms,post_drift_detections,false_alarm_rate,first_post_drift_detection,detection_delay,detected,calibration_threshold
title,83,ADWIN,0,0,0,0.0,,,False,
title,83,Page-Hinkley,0,0,0,0.0,,,False,
title,83,Boundary-Aware,26,2,24,0.038461538461538464,1375.0,0.0,True,2.4787487478475674
title,84,ADWIN,0,0,0,0.0,,,False,
title,84,Page-Hinkley,0,0,0,0.0,,,False,
title,84,Boundary-Aware,26,5,21,0.09615384615384616,1500.0,125.0,True,1.5573298269701608
title,85,ADWIN,0,0,0,0.0,,,False,
title,85,Page-Hinkley,0,0,0,0.0,,,False,
title,85,Boundary-Aware,48,16,32,0.3076923076923077,1375.0,0.0,True,2.037022204025518
title,86,ADWIN,0,0,0,0.0,,,False,
title,86,Page-Hinkley,0,0,0,0.0,,,False,
title,86,Boundary-Aware,6,2,4,0.038461538461538464,1825.0,450.0,True,3.3288011054328157
title,87,ADWIN,0,0,0,0.0,,,False,
title,87,Page-Hinkley,0,0,0,0.0,,,False,
title,87,Boundary-Aware,25,2,23,0.038461538461538464,1375.0,0.0,True,1.9840738816425798
title,88,ADWIN,0,0,0,0.0,,,False,
title,88,Page-Hinkley,0,0,0,0.0,,,False,
title,88,Boundary-Aware,27,9,18,0.17307692307692307,1375.0,0.0,True,2.5441000228032227
title,89,ADWIN,0,0,0,0.0,,,False,
title,89,Page-Hinkley,0,0,0,0.0,,,False,
title,89,Boundary-Aware,7,4,3,0.07692307692307693,1525.0,150.0,True,2.9212883883766136
title,90,ADWIN,0,0,0,0.0,,,False,
title,90,Page-Hinkley,0,0,0,0.0,,,False,
title,90,Boundary-Aware,36,3,33,0.057692307692307696,1375.0,0.0,True,1.7225040577534616
title,91,ADWIN,0,0,0,0.0,,,False,
title,91,Page-Hinkley,0,0,0,0.0,,,False,
title,91,Boundary-Aware,41,9,32,0.17307692307692307,1375.0,0.0,True,1.4634989709457027
title,92,ADWIN,0,0,0,0.0,,,False,
title,92,Page-Hinkley,0,0,0,0.0,,,False,
title,92,Boundary-Aware,21,4,17,0.07692307692307693,1375.0,0.0,True,2.8840415985727237
title,93,ADWIN,0,0,0,0.0,,,False,
title,93,Page-Hinkley,0,0,0,0.0,,,False,
title,93,Boundary-Aware,29,5,24,0.09615384615384616,1375.0,0.0,True,1.9664486906783876
title,94,ADWIN,0,0,0,0.0,,,False,
title,94,Page-Hinkley,0,0,0,0.0,,,False,
title,94,Boundary-Aware,28,4,24,0.07692307692307693,1450.0,75.0,True,1.9617897077603932
title,95,ADWIN,0,0,0,0.0,,,False,
title,95,Page-Hinkley,0,0,0,0.0,,,False,
title,95,Boundary-Aware,27,3,24,0.057692307692307696,1400.0,25.0,True,1.9065452190017096
title,96,ADWIN,0,0,0,0.0,,,False,
title,96,Page-Hinkley,0,0,0,0.0,,,False,
title,96,Boundary-Aware,11,2,9,0.038461538461538464,1700.0,325.0,True,2.453323006221827
title,97,ADWIN,0,0,0,0.0,,,False,
title,97,Page-Hinkley,0,0,0,0.0,,,False,
title,97,Boundary-Aware,34,5,29,0.09615384615384616,1375.0,0.0,True,2.005418822581911
title,98,ADWIN,0,0,0,0.0,,,False,
title,98,Page-Hinkley,0,0,0,0.0,,,False,
title,98,Boundary-Aware,22,3,19,0.057692307692307696,1375.0,0.0,True,2.355546147439853
title,99,ADWIN,0,0,0,0.0,,,False,
title,99,Page-Hinkley,0,0,0,0.0,,,False,
title,99,Boundary-Aware,29,4,25,0.07692307692307693,1375.0,0.0,True,2.064469479424515
title,100,ADWIN,0,0,0,0.0,,,False,
title,100,Page-Hinkley,0,0,0,0.0,,,False,
title,100,Boundary-Aware,19,2,17,0.038461538461538464,1450.0,75.0,True,2.546158428541553
title,101,ADWIN,0,0,0,0.0,,,False,
title,101,Page-Hinkley,0,0,0,0.0,,,False,
title,101,Boundary-Aware,30,6,24,0.11538461538461539,1375.0,0.0,True,2.1626081274342446
title,102,ADWIN,0,0,0,0.0,,,False,
title,102,Page-Hinkley,0,0,0,0.0,,,False,
title,102,Boundary-Aware,22,5,17,0.09615384615384616,1375.0,0.0,True,1.709216768618325
title,103,ADWIN,0,0,0,0.0,,,False,
title,103,Page-Hinkley,0,0,0,0.0,,,False,
title,103,Boundary-Aware,32,7,25,0.1346153846153846,1375.0,0.0,True,1.8061991439283267
title,104,ADWIN,1,0,1,0.0,1983.0,608.0,True,
title,104,Page-Hinkley,0,0,0,0.0,,,False,
title,104,Boundary-Aware,35,4,31,0.07692307692307693,1375.0,0.0,True,2.0583501861806917
title,105,ADWIN,0,0,0,0.0,,,False,
title,105,Page-Hinkley,0,0,0,0.0,,,False,
